Title,Number of characters,Max Degree,Average Degree,Density,Average Path Length
1782_Fonvizin_Nedorosl_(Ira),15,12,8.4,0.6,1.43
1825_Griboyedov_Gore_ot_uma_(Danya),29,19,9.45,0.34,1.94
1825_Pushkin_Boris_Godunov_(Danya+Frank),80,18,5.37,0.07,3.4
1835_Gogol_Zhenitba_(Kirill),13,12,8.77,0.73,1.27
1836_Gogol_Revizor_(Danya+Frank),26,23,11.0,0.44,1.62
1849_Ostrovsky_Svoi_ludi_(Anatoly),10,9,7.8,0.87,1.13
1849_Ostrovsky_Svoi_ludi_(Irina),10,8,6.2,0.69,1.31
1859_Ostrovsky_Groza_(Danya),19,16,8.21,0.46,1.57
1862_Sykh_Delo_(Ania),19,16,7.58,0.42,1.64
1869_Sykh_Smert_Tarelkina_(LisaV),22,15,6.45,0.31,1.87
1877_Tolstoy_Vlast_(Taya),13,9,5.54,0.46,1.68
1878_Ostrovsky_Bespridannitsa_(LisaK),12,11,9.5,0.86,1.14
1904_Chekhov_Vishnevyj_sad_(Arseniy),14,13,10.57,0.81,1.19
1927_Mayakovskiy_Klop_(German),65,46,10.52,0.16,1.7
